,측정일자,도로변구분,측정소명,미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
0,20230712,일반도로,한강대로,28,0.0162,0.0262,0.56,0.0031
1,20230712,일반도로,홍릉로,19,0.0145,0.0236,0.4,0.0026
2,20230712,중앙차로,동작대로,23,0.0093,0.0309,0.53,0.0034
5,20230712,일반도로,천호대로,20,0.0115,0.0251,0.44,0.0022
9,20230712,중앙차로,공항대로,23,0.0201,0.0219,0.33,0.0023
10,20230712,전용차로,정릉로,25,0.0123,0.0238,0.47,0.0027
12,20230712,중앙차로,강남대로,20,0.0097,0.0239,0.4,0.0022
13,20230712,일반도로,도산대로,22,0.0102,0.0239,0.69,0.0021
14,20230712,일반도로,청계천로,28,0.0098,0.0258,0.51,0.0041
15,20230712,일반도로,종로,22,0.0087,0.0207,0.54,0.0031
16,20230712,일반도로,화랑로,20,0.0115,0.0254,0.44,0.0022
17,20230712,일반도로,영등포로,26,0.0095,0.0324,0.53,0.0025
19,20230712,전용차로,강변북로,23,0.0093,0.027,0.54,0.0026
20,20230712,일반도로,신촌로,24,0.0117,0.0232,0.45,0.0028
21,20230712,경계,행주,26,0.0107,0.0268,0.41,0.002
22,20230712,경계,항동,20,0.0212,0.0084,0.48,0.0028
23,20230712,일반도로,시흥대로,26,0.0123,0.0336,0.41,0.0029
24,20230712,경계,세곡,25,0.0099,0.0169,0.43,0.0026
25,20230711,전용차로,정릉로,31,0.0272,0.0326,0.47,0.0027
26,20230711,중앙차로,강남대로,16,0.023,0.0329,0.5,0.0021
27,20230711,중앙차로,공항대로,21,0.0354,0.0261,0.31,0.0024
28,20230711,일반도로,청계천로,27,0.0292,0.0275,0.52,0.0039
29,20230711,경계,행주,22,0.0377,0.021,0.35,0.002
30,20230711,일반도로,신촌로,20,0.0341,0.0214,0.42,0.0026
31,20230711,일반도로,시흥대로,23,0.02,0.0445,0.54,0.0028
32,20230711,일반도로,화랑로,22,0.0251,0.0348,0.48,0.0024
33,20230711,경계,세곡,18,0.0317,0.0157,0.41,0.0026
34,20230711,일반도로,종로,20,0.0236,0.0302,0.6,0.0033
35,20230711,일반도로,천호대로,20,0.0332,0.0267,0.42,0.0022
38,20230711,전용차로,강변북로,17,0.0327,0.0276,0.54,0.0025
39,20230711,경계,항동,16,0.0336,0.0113,0.53,0.0027
40,20230711,일반도로,도산대로,19,0.0321,0.0232,0.63,0.0021
41,20230711,일반도로,영등포로,21,0.0304,0.0318,0.5,0.0026
42,20230711,중앙차로,동작대로,21,0.0302,0.036,0.51,0.0033
46,20230711,일반도로,홍릉로,19,0.0403,0.0252,0.41,0.0029
47,20230711,일반도로,한강대로,22,0.0402,0.0269,0.56,0.0032
51,20230710,경계,세곡,31,0.0473,0.0086,0.44,0.0026
52,20230710,경계,항동,30,0.0572,0.0065,0.54,0.0029
53,20230710,중앙차로,공항대로,36,0.0495,0.0237,0.27,0.0025
54,20230710,일반도로,청계천로,42,0.0376,0.0234,0.53,0.0036
55,20230710,일반도로,영등포로,38,0.0434,0.0302,0.55,0.0025
56,20230710,일반도로,한강대로,40,0.0521,0.0255,0.59,0.0031
57,20230710,중앙차로,동작대로,36,0.0506,0.0285,0.5,0.0034
59,20230710,경계,행주,41,0.0541,0.0157,0.43,0.0025
60,20230710,일반도로,시흥대로,41,0.0406,0.0302,0.46,0.0026
61,20230710,일반도로,신촌로,38,0.0391,0.024,0.5,0.0026
64,20230710,일반도로,홍릉로,32,0.0491,0.0252,0.47,0.0028
65,20230710,일반도로,종로,34,0.0343,0.0219,0.56,0.0031
68,20230710,중앙차로,강남대로,32,0.0354,0.026,0.45,0.002
69,20230710,전용차로,정릉로,41,0.036,0.0312,0.49,0.0027
70,20230710,전용차로,강변북로,29,0.0377,0.03,0.56,0.0027
71,20230710,일반도로,화랑로,30,0.0381,0.029,0.46,0.0023
72,20230710,일반도로,도산대로,34,0.0432,0.0191,0.59,0.0021
73,20230710,일반도로,천호대로,31,0.0479,0.0221,0.43,0.0021
75,20230709,일반도로,종로,16,0.0288,0.0153,0.45,0.0029
78,20230709,경계,행주,18,0.0435,0.0109,0.37,0.002
79,20230709,일반도로,신촌로,17,0.037,0.0117,0.35,0.0026
81,20230709,경계,항동,14,0.0368,0.0052,0.49,0.0026
82,20230709,중앙차로,강남대로,12,0.0308,0.0158,0.36,0.002
83,20230709,전용차로,정릉로,16,0.037,0.0153,0.4,0.0024
84,20230709,일반도로,도산대로,13,0.0361,0.0107,0.5,0.0021
85,20230709,중앙차로,공항대로,16,0.0419,0.0151,0.27,0.0023
86,20230709,일반도로,천호대로,15,0.0377,0.0131,0.33,0.0021
88,20230709,전용차로,강변북로,12,0.0334,0.0178,0.47,0.0025
89,20230709,중앙차로,동작대로,16,0.0412,0.0171,0.41,0.003
90,20230709,일반도로,청계천로,19,0.0343,0.0132,0.34,0.0034
91,20230709,일반도로,화랑로,17,0.035,0.0196,0.4,0.0023
93,20230709,일반도로,시흥대로,19,0.0233,0.0337,0.48,0.0025
94,20230709,경계,세곡,16,0.036,0.0059,0.38,0.0025
96,20230709,일반도로,영등포로,17,0.035,0.0192,0.43,0.0023
97,20230709,일반도로,홍릉로,15,0.043,0.0148,0.34,0.0028
99,20230709,일반도로,한강대로,16,0.0462,0.0138,0.45,0.003
100,20230708,일반도로,영등포로,13,0.0333,0.0213,0.44,0.0026
101,20230708,중앙차로,동작대로,14,0.0382,0.02,0.42,0.0033
102,20230708,경계,행주,13,0.0429,0.0133,0.31,0.002
103,20230708,일반도로,시흥대로,14,0.0251,0.0334,0.45,0.0027
104,20230708,일반도로,한강대로,20,0.0397,0.0185,0.46,0.0031
105,20230708,일반도로,홍릉로,14,0.0415,0.017,0.38,0.0029
106,20230708,전용차로,정릉로,16,0.031,0.0232,0.42,0.0026
107,20230708,전용차로,강변북로,10,0.027,0.0282,0.5,0.0026
108,20230708,일반도로,화랑로,16,0.0316,0.0224,0.42,0.0025
109,20230708,일반도로,청계천로,17,0.0325,0.0163,0.39,0.0036
110,20230708,중앙차로,강남대로,11,0.0296,0.0203,0.37,0.0023
111,20230708,일반도로,도산대로,11,0.0322,0.0152,0.53,0.0023
112,20230708,일반도로,천호대로,13,0.0373,0.016,0.35,0.0021
113,20230708,일반도로,종로,13,0.0275,0.0219,0.52,0.0032
115,20230708,일반도로,신촌로,14,0.0341,0.0161,0.38,0.0026
116,20230708,경계,세곡,12,0.0365,0.0061,0.38,0.0027
119,20230708,경계,항동,6,0.0416,0.0061,0.43,0.0027
124,20230708,중앙차로,공항대로,11,0.0406,0.0172,0.27,0.0027
125,20230707,일반도로,천호대로,44,0.041,0.0248,0.46,0.0024
126,20230707,일반도로,신촌로,48,0.0408,0.0247,0.54,0.0032
127,20230707,일반도로,한강대로,56,0.0496,0.0218,0.59,0.0033
129,20230707,일반도로,화랑로,47,0.03,0.034,0.55,0.0029
130,20230707,전용차로,강변북로,44,0.026,0.0431,0.62,0.0023
131,20230707,일반도로,홍릉로,44,0.0497,0.0229,0.45,0.0034
133,20230707,중앙차로,강남대로,45,0.0278,0.0341,0.5,0.0026
135,20230707,전용차로,정릉로,55,0.0333,0.033,0.54,0.003
136,20230707,경계,세곡,47,0.0356,0.0158,0.52,0.0028
137,20230707,일반도로,도산대로,47,0.0362,0.0271,0.65,0.0028
139,20230707,일반도로,시흥대로,45,0.0317,0.0433,0.6,0.0033
141,20230707,중앙차로,동작대로,45,0.0423,0.0316,0.57,0.0039
142,20230707,경계,항동,33,0.049,0.0093,0.57,0.003
143,20230707,일반도로,영등포로,44,0.0433,0.0274,0.56,0.0031
145,20230707,중앙차로,공항대로,44,0.0497,0.0266,0.4,0.0034
146,20230707,일반도로,청계천로,55,0.0342,0.0275,0.62,0.0041
148,20230707,경계,행주,43,0.0544,0.0166,0.44,0.0025
149,20230707,일반도로,종로,45,0.0337,0.0253,0.63,0.0036
150,20230706,일반도로,천호대로,44,0.0648,0.0223,0.53,0.0024
151,20230706,일반도로,종로,45,0.0459,0.0253,0.72,0.0035
152,20230706,중앙차로,강남대로,44,0.0496,0.0246,0.52,0.0022
153,20230706,일반도로,도산대로,49,0.0518,0.0219,0.78,0.0024
154,20230706,일반도로,홍릉로,47,0.0652,0.0252,0.59,0.0035
155,20230706,전용차로,정릉로,50,0.0519,0.032,0.61,0.003
156,20230706,경계,세곡,50,0.0622,0.0084,0.58,0.0028
157,20230706,경계,행주,45,0.0689,0.0151,0.38,0.0025
160,20230706,일반도로,영등포로,49,0.0533,0.029,0.63,0.0028
161,20230706,일반도로,화랑로,47,0.0585,0.0273,0.55,0.003
163,20230706,일반도로,신촌로,51,0.0536,0.0257,0.62,0.0031
164,20230706,전용차로,강변북로,48,0.05,0.0373,0.73,0.0022
165,20230706,중앙차로,동작대로,46,0.0681,0.0259,0.61,0.0038
166,20230706,일반도로,시흥대로,48,0.0538,0.0316,0.57,0.0029
167,20230706,경계,항동,42,0.0725,0.0062,0.63,0.0032
169,20230706,일반도로,한강대로,78,0.066,0.0406,0.83,0.0033
173,20230706,중앙차로,공항대로,44,0.0705,0.0162,0.42,0.003
174,20230706,일반도로,청계천로,57,0.0485,0.0258,0.67,0.0039
175,20230705,중앙차로,강남대로,20,0.041,0.019,0.37,0.0019
176,20230705,일반도로,청계천로,33,0.0446,0.0154,0.46,0.0036
178,20230705,일반도로,도산대로,27,0.0431,0.0142,0.56,0.0021
179,20230705,일반도로,화랑로,26,0.0469,0.0209,0.4,0.0024
180,20230705,경계,행주,27,0.0559,0.0092,0.34,0.002
181,20230705,일반도로,영등포로,29,0.039,0.0255,0.59,0.0023
182,20230705,전용차로,강변북로,26,0.0442,0.0244,0.57,0.0019
184,20230705,일반도로,홍릉로,26,0.0487,0.0207,0.47,0.0033
185,20230705,중앙차로,동작대로,31,0.0562,0.0195,0.48,0.0032
186,20230705,경계,세곡,26,0.0502,0.0055,0.49,0.0025
187,20230705,일반도로,시흥대로,29,0.0479,0.0161,0.38,0.0024
188,20230705,일반도로,종로,28,0.0392,0.0164,0.52,0.0031
190,20230705,경계,항동,21,0.057,0.0049,0.5,0.0026
192,20230705,일반도로,신촌로,33,0.0379,0.0251,0.54,0.0028
193,20230705,전용차로,정릉로,31,0.0432,0.0227,0.47,0.0025
196,20230705,일반도로,천호대로,28,0.0516,0.0163,0.41,0.0022
197,20230705,중앙차로,공항대로,25,0.0529,0.0174,0.33,0.0026
199,20230705,일반도로,한강대로,0,0.0,0.0,0.0,0.0
201,20230704,중앙차로,강남대로,31,0.0239,0.028,0.47,0.0021
202,20230704,일반도로,신촌로,38,0.0283,0.0211,0.46,0.0028
203,20230704,일반도로,종로,35,0.0237,0.0256,0.61,0.0033
204,20230704,일반도로,도산대로,32,0.0282,0.0223,0.69,0.0022
205,20230704,일반도로,천호대로,36,0.0343,0.0226,0.43,0.0023
206,20230704,경계,항동,27,0.0313,0.0081,0.54,0.0026
209,20230704,일반도로,한강대로,0,0.0,0.0,0.0,0.0
211,20230704,전용차로,정릉로,39,0.0268,0.0287,0.5,0.0028
212,20230704,경계,세곡,33,0.0292,0.0121,0.5,0.0025
215,20230704,전용차로,강변북로,35,0.0205,0.0347,0.57,0.0019
216,20230704,경계,행주,36,0.0298,0.0209,0.31,0.0022
218,20230704,일반도로,화랑로,38,0.0199,0.034,0.54,0.0027
219,20230704,일반도로,홍릉로,34,0.0385,0.0209,0.42,0.0037
220,20230704,중앙차로,공항대로,30,0.0314,0.0225,0.37,0.0027
221,20230704,일반도로,영등포로,38,0.026,0.0255,0.52,0.0024
222,20230704,중앙차로,동작대로,35,0.0346,0.0267,0.49,0.0034
223,20230704,일반도로,시흥대로,37,0.0197,0.0403,0.52,0.0028
224,20230704,일반도로,청계천로,46,0.0252,0.0272,0.57,0.004
226,20230703,일반도로,화랑로,34,0.0333,0.0316,0.47,0.0026
227,20230703,일반도로,종로,33,0.0328,0.0263,0.57,0.0031
228,20230703,일반도로,영등포로,36,0.0384,0.0278,0.5,0.0023
230,20230703,중앙차로,공항대로,31,0.0442,0.0274,0.39,0.0026
232,20230703,일반도로,도산대로,31,0.0347,0.0266,0.69,0.0023
233,20230703,중앙차로,강남대로,29,0.0327,0.0291,0.48,0.0023
235,20230703,경계,행주,27,0.0502,0.0104,0.32,0.0021
236,20230703,일반도로,신촌로,35,0.036,0.0248,0.47,0.0027
237,20230703,일반도로,시흥대로,37,0.0322,0.0437,0.53,0.003
238,20230703,일반도로,청계천로,40,0.0352,0.0252,0.53,0.0033
239,20230703,일반도로,한강대로,33,0.0427,0.0242,0.57,0.0035
241,20230703,일반도로,천호대로,34,0.0391,0.0265,0.45,0.0024
243,20230703,경계,세곡,32,0.04,0.0138,0.5,0.0026
244,20230703,중앙차로,동작대로,34,0.0462,0.0315,0.54,0.0033
245,20230703,전용차로,정릉로,39,0.035,0.0298,0.46,0.0027
246,20230703,일반도로,홍릉로,32,0.0466,0.024,0.44,0.003
247,20230703,경계,항동,27,0.05,0.0089,0.6,0.0026
248,20230703,전용차로,강변북로,31,0.027,0.04,0.57,0.0019
254,20230702,경계,행주,17,0.0335,0.007,0.2,0.0018
255,20230702,경계,세곡,22,0.0348,0.012,0.49,0.0026
256,20230702,일반도로,천호대로,21,0.0434,0.018,0.4,0.0023
257,20230702,일반도로,도산대로,19,0.0328,0.0139,0.55,0.0022
258,20230702,중앙차로,강남대로,16,0.0316,0.0183,0.37,0.0022
260,20230702,일반도로,화랑로,22,0.0313,0.018,0.4,0.0024
261,20230702,전용차로,강변북로,19,0.0244,0.0279,0.54,0.002
263,20230702,일반도로,신촌로,23,0.0252,0.0194,0.47,0.0027
265,20230702,전용차로,정릉로,21,0.0316,0.0171,0.41,0.0026
266,20230702,일반도로,홍릉로,21,0.0369,0.0177,0.4,0.0031
267,20230702,일반도로,시흥대로,19,0.029,0.0229,0.37,0.0025
268,20230702,중앙차로,동작대로,21,0.0391,0.0207,0.45,0.0036
269,20230702,일반도로,종로,19,0.0278,0.0113,0.41,0.003
270,20230702,일반도로,영등포로,19,0.0287,0.0192,0.43,0.0023
271,20230702,중앙차로,공항대로,18,0.03,0.0169,0.33,0.0029
272,20230702,경계,항동,14,0.0359,0.0057,0.54,0.0026
273,20230702,일반도로,청계천로,26,0.0295,0.0134,0.36,0.0032
274,20230702,일반도로,한강대로,19,0.0381,0.017,0.5,0.0035
275,20230701,경계,행주,22,0.0413,0.0093,0.28,0.0022
277,20230701,일반도로,화랑로,32,0.0364,0.0247,0.48,0.0025
278,20230701,일반도로,시흥대로,31,0.0369,0.0324,0.5,0.0028
279,20230701,일반도로,청계천로,34,0.0358,0.0177,0.42,0.0032
283,20230701,중앙차로,공항대로,25,0.0397,0.0225,0.37,0.0028
284,20230701,일반도로,영등포로,28,0.0351,0.0297,0.52,0.0024
285,20230701,중앙차로,동작대로,32,0.0485,0.0302,0.57,0.0036
286,20230701,경계,세곡,35,0.0458,0.0154,0.55,0.0027
287,20230701,경계,항동,23,0.0461,0.0082,0.63,0.0028
288,20230701,전용차로,강변북로,28,0.0288,0.0389,0.63,0.002
289,20230701,일반도로,홍릉로,28,0.0418,0.0254,0.48,0.003
290,20230701,일반도로,종로,26,0.0339,0.0166,0.49,0.003
291,20230701,일반도로,천호대로,30,0.0465,0.0259,0.47,0.0024
292,20230701,전용차로,정릉로,28,0.037,0.0214,0.48,0.0027
293,20230701,일반도로,한강대로,28,0.0495,0.0202,0.55,0.0035
295,20230701,중앙차로,강남대로,28,0.0361,0.0296,0.45,0.0021
296,20230701,일반도로,도산대로,28,0.0395,0.0211,0.64,0.0023
298,20230701,일반도로,신촌로,31,0.031,0.028,0.56,0.0028
300,20230630,일반도로,신촌로,44,0.0364,0.0332,0.62,0.0028
301,20230630,전용차로,강변북로,35,0.0274,0.0435,0.65,0.002
303,20230630,경계,행주,42,0.0556,0.0134,0.41,0.0021
304,20230630,경계,항동,32,0.0546,0.0085,0.62,0.0026
305,20230630,일반도로,한강대로,41,0.0505,0.0346,0.66,0.0034
306,20230630,일반도로,종로,36,0.0379,0.0213,0.58,0.003
308,20230630,일반도로,홍릉로,35,0.044,0.0292,0.53,0.003
313,20230630,중앙차로,공항대로,39,0.0455,0.0311,0.45,0.0026
314,20230630,일반도로,도산대로,36,0.0389,0.0252,0.7,0.0021
315,20230630,일반도로,영등포로,48,0.0334,0.035,0.58,0.0023
316,20230630,중앙차로,동작대로,34,0.0448,0.0345,0.57,0.003
317,20230630,일반도로,시흥대로,42,0.0288,0.04,0.53,0.0026
318,20230630,일반도로,화랑로,32,0.0458,0.0283,0.48,0.0024
319,20230630,일반도로,청계천로,45,0.0385,0.0258,0.56,0.0033
321,20230630,전용차로,정릉로,40,0.039,0.0337,0.55,0.0025
322,20230630,중앙차로,강남대로,30,0.0346,0.0294,0.51,0.0019
323,20230630,경계,세곡,36,0.0388,0.0166,0.6,0.0024
324,20230630,일반도로,천호대로,35,0.0408,0.0324,0.54,0.0021
325,20230629,일반도로,시흥대로,42,0.022,0.0292,0.43,0.0025
326,20230629,일반도로,영등포로,43,0.0175,0.0249,0.48,0.0021
327,20230629,중앙차로,공항대로,29,0.0329,0.0186,0.35,0.0023
328,20230629,중앙차로,동작대로,34,0.0304,0.0244,0.45,0.0028
329,20230629,경계,세곡,32,0.0312,0.0086,0.44,0.0024
330,20230629,일반도로,신촌로,37,0.0242,0.0212,0.49,0.0026
331,20230629,일반도로,천호대로,31,0.0278,0.0209,0.37,0.0021
332,20230629,일반도로,도산대로,33,0.0258,0.0185,0.64,0.0022
333,20230629,중앙차로,강남대로,26,0.0256,0.0213,0.37,0.002
334,20230629,일반도로,한강대로,38,0.0369,0.0226,0.53,0.0033
335,20230629,일반도로,청계천로,45,0.0242,0.0239,0.53,0.0037
336,20230629,일반도로,종로,37,0.0202,0.0231,0.59,0.0031
338,20230629,일반도로,화랑로,30,0.0261,0.0238,0.4,0.0025
339,20230629,전용차로,강변북로,33,0.0211,0.0279,0.52,0.0021
340,20230629,전용차로,정릉로,34,0.0232,0.0264,0.47,0.0025
341,20230629,일반도로,홍릉로,33,0.0334,0.021,0.39,0.003
344,20230629,경계,항동,26,0.036,0.0067,0.52,0.0024
349,20230629,경계,행주,37,0.0374,0.0166,0.36,0.0019
350,20230628,전용차로,강변북로,31,0.0321,0.0344,0.54,0.0023
351,20230628,전용차로,정릉로,38,0.0365,0.0292,0.48,0.0028
352,20230628,경계,세곡,26,0.0481,0.0092,0.46,0.0026
353,20230628,중앙차로,강남대로,25,0.0398,0.0205,0.35,0.0023
354,20230628,일반도로,도산대로,29,0.0386,0.0167,0.57,0.0023
355,20230628,일반도로,천호대로,28,0.0469,0.022,0.4,0.0022
356,20230628,일반도로,홍릉로,31,0.0469,0.0249,0.46,0.0033
358,20230628,중앙차로,동작대로,30,0.0453,0.0238,0.47,0.003
359,20230628,중앙차로,공항대로,30,0.0416,0.0215,0.36,0.0028
360,20230628,일반도로,영등포로,33,0.0323,0.0266,0.5,0.0025
364,20230628,일반도로,청계천로,37,0.0382,0.0215,0.49,0.0035
365,20230628,일반도로,한강대로,40,0.0434,0.0272,0.61,0.0035
366,20230628,일반도로,시흥대로,32,0.0351,0.0254,0.41,0.0026
367,20230628,일반도로,종로,30,0.0348,0.0216,0.54,0.0031
368,20230628,경계,항동,24,0.0474,0.0069,0.66,0.0035
372,20230628,일반도로,신촌로,36,0.0327,0.0264,0.55,0.0027
373,20230628,경계,행주,33,0.0466,0.0137,0.35,0.0024
374,20230628,일반도로,화랑로,30,0.0452,0.0222,0.4,0.0025
375,20230627,일반도로,도산대로,18,0.0412,0.0155,0.46,0.0024
379,20230627,경계,행주,20,0.05,0.0101,0.2,0.0022
380,20230627,일반도로,한강대로,28,0.0421,0.0279,0.53,0.0035
381,20230627,경계,세곡,20,0.0473,0.0087,0.43,0.0027
382,20230627,일반도로,신촌로,28,0.0321,0.0278,0.5,0.0028
383,20230627,일반도로,홍릉로,22,0.0466,0.0219,0.4,0.0031
384,20230627,전용차로,정릉로,26,0.0343,0.0284,0.41,0.0026
385,20230627,전용차로,강변북로,17,0.0355,0.0308,0.44,0.0025
386,20230627,일반도로,화랑로,22,0.0437,0.0222,0.34,0.0025
388,20230627,경계,항동,14,0.0522,0.007,0.61,0.0037
392,20230627,일반도로,종로,20,0.0358,0.0189,0.45,0.003
393,20230627,중앙차로,공항대로,19,0.0477,0.0205,0.32,0.0026
394,20230627,일반도로,영등포로,28,0.0371,0.0275,0.44,0.0025
395,20230627,중앙차로,동작대로,22,0.0503,0.0211,0.41,0.0032
396,20230627,일반도로,시흥대로,22,0.0397,0.0213,0.32,0.0027
397,20230627,중앙차로,강남대로,16,0.0382,0.0216,0.3,0.0023
398,20230627,일반도로,천호대로,24,0.0479,0.0195,0.36,0.0023
399,20230627,일반도로,청계천로,25,0.0385,0.0214,0.44,0.0034
400,20230626,일반도로,홍릉로,20,0.0264,0.0199,0.39,0.0029
401,20230626,일반도로,종로,20,0.0195,0.02,0.52,0.003
402,20230626,일반도로,한강대로,25,0.0294,0.0194,0.52,0.0033
406,20230626,중앙차로,공항대로,16,0.0297,0.0145,0.31,0.0025
408,20230626,일반도로,영등포로,18,0.0216,0.0221,0.44,0.0024
409,20230626,경계,행주,20,0.0311,0.0127,0.19,0.002
410,20230626,중앙차로,동작대로,21,0.0281,0.0195,0.43,0.0028
411,20230626,일반도로,시흥대로,19,0.0192,0.0255,0.4,0.0026
413,20230626,일반도로,신촌로,20,0.0222,0.0158,0.39,0.0026
414,20230626,경계,세곡,16,0.0276,0.0092,0.43,0.0026
416,20230626,중앙차로,강남대로,14,0.0228,0.017,0.35,0.0024
417,20230626,경계,항동,12,0.0316,0.0057,0.62,0.0034
419,20230626,일반도로,도산대로,14,0.0234,0.0144,0.55,0.0018
420,20230626,일반도로,화랑로,21,0.0212,0.0232,0.41,0.0024
421,20230626,일반도로,천호대로,21,0.0233,0.0202,0.37,0.0021
422,20230626,일반도로,청계천로,24,0.0223,0.0187,0.5,0.0034
423,20230626,전용차로,강변북로,18,0.0193,0.0239,0.48,0.0023
424,20230626,전용차로,정릉로,29,0.0217,0.0231,0.44,0.0026
426,20230625,전용차로,정릉로,34,0.0457,0.0189,0.45,0.0026
427,20230625,일반도로,종로,32,0.0362,0.0177,0.5,0.0029
428,20230625,전용차로,강변북로,31,0.0327,0.0279,0.56,0.0027
429,20230625,일반도로,청계천로,40,0.0405,0.0144,0.39,0.0031
430,20230625,일반도로,한강대로,42,0.0537,0.0136,0.49,0.0033
431,20230625,일반도로,화랑로,37,0.0378,0.024,0.48,0.0025
432,20230625,일반도로,천호대로,32,0.0452,0.0163,0.42,0.0023
433,20230625,일반도로,도산대로,31,0.0407,0.0147,0.59,0.0019
434,20230625,중앙차로,강남대로,30,0.031,0.0232,0.4,0.0026
435,20230625,경계,행주,29,0.0522,0.0092,0.27,0.002
436,20230625,경계,세곡,30,0.0407,0.0092,0.52,0.0027
438,20230625,일반도로,신촌로,35,0.0393,0.0171,0.44,0.0026
440,20230625,경계,항동,28,0.05,0.0069,0.68,0.0037
441,20230625,일반도로,시흥대로,35,0.0287,0.0381,0.49,0.0029
442,20230625,중앙차로,동작대로,33,0.048,0.0221,0.5,0.0032
443,20230625,일반도로,홍릉로,34,0.0527,0.015,0.39,0.003
444,20230625,일반도로,영등포로,33,0.0466,0.0175,0.5,0.0027
447,20230625,중앙차로,공항대로,31,0.0517,0.0149,0.38,0.0029
450,20230624,일반도로,도산대로,36,0.0471,0.0189,0.6,0.0019
452,20230624,중앙차로,강남대로,40,0.036,0.0338,0.49,0.0025
453,20230624,일반도로,화랑로,39,0.0412,0.03,0.5,0.0026
454,20230624,중앙차로,공항대로,40,0.0461,0.0272,0.47,0.0028
455,20230624,경계,세곡,39,0.0454,0.0302,0.59,0.0028
456,20230624,전용차로,정릉로,40,0.0466,0.0269,0.49,0.0028
458,20230624,일반도로,청계천로,46,0.0427,0.0223,0.46,0.0032
459,20230624,일반도로,영등포로,40,0.0439,0.0306,0.54,0.0028
461,20230624,일반도로,시흥대로,47,0.038,0.0387,0.59,0.003
462,20230624,경계,항동,37,0.0534,0.0104,0.77,0.0039
465,20230624,일반도로,종로,35,0.0397,0.0205,0.55,0.0031
466,20230624,일반도로,신촌로,42,0.0359,0.0289,0.55,0.0029
468,20230624,전용차로,강변북로,33,0.0359,0.036,0.56,0.0027
469,20230624,일반도로,홍릉로,38,0.0527,0.0241,0.46,0.0031
470,20230624,일반도로,천호대로,34,0.0478,0.0247,0.45,0.0024
472,20230624,중앙차로,동작대로,41,0.0496,0.0325,0.56,0.0035
473,20230624,일반도로,한강대로,41,0.0521,0.0268,0.56,0.0034
474,20230624,경계,행주,42,0.0494,0.0158,0.42,0.0023
475,20230623,일반도로,시흥대로,46,0.0287,0.0468,0.63,0.0029
480,20230623,중앙차로,강남대로,38,0.0264,0.0353,0.55,0.0026
481,20230623,경계,세곡,36,0.0365,0.0158,0.53,0.0028
483,20230623,일반도로,화랑로,28,0.0259,0.0325,0.49,0.0025
484,20230623,일반도로,신촌로,40,0.0324,0.028,0.57,0.0027
485,20230623,전용차로,강변북로,36,0.0252,0.0422,0.61,0.0028
486,20230623,전용차로,정릉로,35,0.029,0.0331,0.53,0.0027
487,20230623,경계,행주,41,0.0498,0.0161,0.43,0.0019
488,20230623,일반도로,도산대로,39,0.0404,0.0226,0.66,0.0019
489,20230623,일반도로,홍릉로,29,0.0417,0.0228,0.47,0.0029
492,20230623,중앙차로,동작대로,37,0.0426,0.0329,0.57,0.0032
493,20230623,일반도로,한강대로,45,0.0453,0.0267,0.62,0.0033
494,20230623,일반도로,청계천로,41,0.0355,0.0261,0.59,0.0033
495,20230623,일반도로,종로,32,0.0342,0.0246,0.64,0.0032
496,20230623,일반도로,영등포로,40,0.0404,0.0273,0.57,0.0026
497,20230623,경계,항동,40,0.0539,0.0094,0.74,0.0036
498,20230623,일반도로,천호대로,29,0.0302,0.0273,0.46,0.0022
499,20230623,중앙차로,공항대로,40,0.0459,0.0263,0.49,0.0027
500,20230622,일반도로,한강대로,24,0.0258,0.0183,0.5,0.0033
501,20230622,전용차로,강변북로,20,0.0181,0.0265,0.44,0.0029
503,20230622,경계,항동,15,0.0297,0.0063,0.52,0.0035
504,20230622,중앙차로,동작대로,24,0.0268,0.0228,0.43,0.0032
505,20230622,일반도로,홍릉로,20,0.0252,0.019,0.38,0.0032
506,20230622,일반도로,천호대로,23,0.0236,0.0195,0.35,0.0023
507,20230622,중앙차로,공항대로,25,0.0243,0.0219,0.34,0.0026
508,20230622,전용차로,정릉로,24,0.0216,0.0202,0.39,0.0026
509,20230622,일반도로,신촌로,26,0.0171,0.0233,0.58,0.0028
510,20230622,중앙차로,강남대로,24,0.0204,0.0213,0.34,0.0028
514,20230622,일반도로,화랑로,21,0.0217,0.0204,0.37,0.0025
518,20230622,경계,행주,18,0.0325,0.009,0.36,0.0018
519,20230622,일반도로,종로,19,0.0248,0.0129,0.4,0.0031
520,20230622,일반도로,시흥대로,21,0.0234,0.0195,0.33,0.0026
521,20230622,일반도로,영등포로,20,0.0222,0.0226,0.42,0.0026
522,20230622,일반도로,청계천로,25,0.024,0.0156,0.37,0.0032
523,20230622,경계,세곡,23,0.024,0.0117,0.38,0.0027
524,20230622,일반도로,도산대로,20,0.0254,0.0145,0.43,0.0019
526,20230621,중앙차로,동작대로,14,0.0166,0.0239,0.42,0.0032
528,20230621,경계,행주,11,0.0262,0.0094,0.39,0.0018
529,20230621,일반도로,도산대로,10,0.018,0.0157,0.49,0.0019
530,20230621,일반도로,화랑로,14,0.0155,0.0211,0.39,0.0024
532,20230621,일반도로,천호대로,14,0.0159,0.0202,0.38,0.0023
533,20230621,일반도로,한강대로,11,0.0215,0.0166,0.45,0.0033
